Какая мышца в теле человека самая сильная?; икроножная и жевательная мышцы
Какой пробкой нельзя заткнуть ни одну бутылку?; дорожной
В каком слове «спрятался» напиток и природное явление?; виноград
Завязать можно, а развязать нельзя.; разговор
Перед каким простым смертным даже президент снимает шапку?; парикмахер
Они бывают металлические и жидкие. О чем речь?; гвозди
Как написать «уточка» в 2 клетках?; (Ответ: В 1-ой — букву «у», во 2-ой — точку
Отгадай загадку — у кого за носом пятка?; обувь
Маленький, серенький на слона похож. Кто это?; слоненок
Висит груша – нельзя скушать. Не лампочка.; это чужая груша
Как называется боязнь прихода Санта-Клауса?; клаустрофобия
Не лед, а тает, не лодка, а уплывает.; зарплата
Какая разница между попом и Волгой?; (Ответ: поп – батюшка, а Волга – матушка
Прежде чем назвать женщину зайкой, что должен проверить мужчина?; убедиться, что у него достаточно «капусты»
Когда человек имеет столько глаз, сколько дней в году?; второго января
Один фокусник заявил, что может поставить бутылку в центре комнаты и вползти в нее. Как это?; в нее — комнату
Что такое, самое доброе в мире приведение с моторчиком?; запорожец
Что нужно положить на пирожок прежде, чем его съесть?; зубы
Не оближешь — не встанет, не встанет — не влезет!; нитка в иголку
Стоит баба на полу, приоткрыв свою дыру.; печка
С горки ползком, в горку бегом.; сопля
Как называется тень от растения хрен?; хренотень
Зерно, прошедшее огонь, воду и медные трубы.; самогон
Как поймать тигра в клетку?; тигра в клетку не бывает, тигр в полоску
Чем отличается рабочий от инженера?; рабочий моет руки перед тем, как “сходить” в туалет, а инженер — после
Сколько обуви нужно женщине для “полного счастья”?; на одну пару больше, чем у нее уже есть
У мальчика Коли мама работает в школе поваром, а папа — на мясокомбинате. Вопрос, какой вес у мальчика Коли?; избыточный
Что общего между молоком и ежиком?; способность сворачиваться
К реке подходят два человека. У берега лодка, которая может выдержать только одного. Оба человека переправились на противоположный берег. Как?; они были на разных берегах
Летели галки, сели на палки. Сядут по одной — галка лишняя, сядут по две — палка лишняя. Сколько было палок и сколько было галок?; три палки и четыре галки
Жила-была в чаще одна девочка-сирота, у нее были только два котенка, два щенка, три попугая, черепаха и хомяк. Решила она сходить живности за кормом. Идет она лесом, полем, лесом, полем. Пришла она к магазину, но кормов там никаких нет. Пошла она обратно домой. И упала девочка в яму. Если она вылезет, умрет папа. Если останется там, умрет мама. Туннель копать нельзя. Что ей делать?; спокойно выбираться, она сирота
В семье негров в Конго родился ребенок, весь белый, даже зубы были белоснежными. Что здесь не так?; дети рождаются без зубов
В один день в одном роддоме родились 2 мальчика. Их родители переехали в один и тот же дом. Жили мальчики на одной и той же лестничной площадке, пошли в одну и ту же школу, в один и тот же класс. Но они никогда не видели друг друга. Как это может быть?; они родились слепыми
Лодка качается на воде. С нее по борту выкинута лестница. До прилива вода накрывала только нижнюю ступеньку. Через сколько времени вода накроет 3-ю снизу ступеньку, если во время прилива вода прибывает на 20 см в час, а расстояние между ступеньками 30 см?; никогда, так как лодка поднимается вместе с водой
Сколько у меня цветов, если все из них кроме двух — розы, все кроме двух — тюльпаны, и все кроме двух — маргаритки?; три цветка: роза, тюльпан и маргаритка
За столом сидят ковбой, джентльмен и йог. Сколько ног стоит на полу?; 1 нога. Ковбой кладет ноги на стол, джентльмен кладет ногу на ногу, а йог медитирует)
К тебе пришли гости, а в холодильнике только бутылка лимонада, пакет с ананасовым соком и бутылка минеральной воды. Что ты откроешь в первую очередь?; холодильник
Джордж Вашингтон, Шерлок Холмс, Вильям Шекспир, Людвиг Ван Бетховен, Наполеон Бонапарт, Нерон — кто «лишний» в этом списке?; Шерлок Холмс, он вымышленный персонаж
С какой птицы нужно ощипать перья, чтобы получились сразу утро, день, вечер и ночь?; с утки, сутки
Зашел мужик в бар, подошел к бармену и попросил стакан воды. Вместо этого бармен наставил на него ружье. Мужик сказал «спасибо» и ушел. Почему?; у мужика была сильная икота, а бармен решил ему помочь, напугав его
Мужчина зашел в темную комнату, что-то задел, стекло разбилось, и Люси умерла. Что произошло?; Люси была рыбкой
Лера и Катя решили поиграть. Одна девочка играла с куклой, а другая с плюшевым медведем. Лера не играла с куклой. С чем играла каждая девочка?; Лера играла с плюшевым медведем, а Катя с куклой
Все люди хотят, чтобы у них было много этого овоща, но его нигде не купишь. Что это за овощ?; капуста-деньги
На берегу моря был камень. На камне было написано слово из 8 букв. Когда богатые читали это слово, они плакали, бедные радовались, а влюбленные расставались. Что это было за слово?; временно
На дне моря лежит сундук. В нем все есть, кроме одного. Чего в нем нет?; пустоты
Вы уронили в кофе кольцо. Можно его достать, не намочив руки, если у вас ничего нет и кофе нельзя вылить?; да, если кофе в зернах
На попе сидит и в попу глядит. Какая профессия человека?; кучер или ямщик
Дело было зимой. Потерял братец Иванушка свою сестрицу Аленушку. Пошел он лесом, полем ее искать, и видит перед ним большая река. Как ему через реку перебраться?; по льду, дело зимой было
